nahuatl,spanish
.	Auh motolinia in amomatitech anquimonantihui in telpopochtzitzintin: ma contetlalilihtihuian in teicpaltzintli in xiuhpepetzintli in zacaicpaltzintli.,".	Pues, pobrecitos, en vuestra mano habéis tomado a los jovencitos: que vayan disponiéndoles a las gentes los asientos de piedras, los recostaderos de hierba; los asentaderos de grama."
"Unpa tonoque titlatilulca tiyautlapiato y Uexotzinco, tiquinpia yn tlaxcalteca.","Allá fuimos los tlatelolcas a montar guardia en Huexotzinco, para contener a los tlaxcaltecas."
XVI pregon.- A veinte y cinco de hebrero de mil e quinientos e ochenta y siete años in Pedro Ahuexotl otzatzic in tlaxillacalpan Tlocalpan oquitecaquiti inic monamaca in ical in itlal Ysabel Maria oquiteneuh yn ipatiuh napohualli pesos ayac otlananquilli testigo Estevan Martin.,"A veinte y cinco de hebrero de mil y quinientos y ochenta y siete años Pedro Ahuexotl pregonó en el barrio [tlaxilacalli] Tlocalpan que se vendían las casas y tierras de Ysavel Maria y valían ochenta pesos y nadie respondió; testigo Estevan Martin. Ante mí Francisco Maldonado, escrivano."
Ynic 4 tlamantli niquitohua onicnocohuica huapalcuezcomatl nicmacac 3 pesos ynin niquitohua monamacaz yn ipatiuh mochihuaz yc ninotocaz yn tla oninomiquili.,Declaro que abia conprado yo una troxa para poner maiz en ella de tablas que me costó tres pesos mando se benda y del balor dello sea yo enterrado en fallecimiento desta presente bida.
"Auh yn axcan domingo yn ic 29 mani metztli setiembre, ynic ye nahuilhuitl omaxitico nican Mexico in yehuatzin omoteneuhtzino teoyotica tlahtohuani don Juan Pérez de la Serna arçobispo, yhcuac yn otlayahuallo, yn bulla axcan ypan ylhuitzin San Miguel archángel umpa omanato teopan San Francisco, niman yehuatzin umpa in yomatzinco || 233 quimanillito yn omoteneuhtzino teotica tlahtohuani arcobispo, mochi quimotlalilitia yn teotlatquitl yn itlahtocamahuiznechichihualtzin, conmotlalilitia yn imitratzin yhuan capa quimotlalilitia, yc yancuican quinmottititzino yn muchintin nican altepehuaque; auh ytloctzinco mantiaque yn doctor Saucedo arcediano yhuan doctor don Juan de Salamanca chantre, capa quitlalitiaque.","El domingo 29 de septiembre, fiesta de San Miguel arcángel, al cuarto día de haber llegado a México el arzobispo don Juan Pérez de la Serna, se hizo una procesión para ir a tomar la bula a la iglesia de San Francisco, y fue a tomarla en persona el dicho señor arzobispo, el cual iba revestido con sus ornamentos pontificales, con mitra y capa, y así se presentó por primera vez ante todos los pobladores de la ciudad; a su lado iban el arcediano doctor Saucedo y el chantre doctor don Juan de Salamanca, revestidos con capa."
"Tej, ye nenquimatztoquej ica ne campa Cristo niman Dios tlamandarohua, on yejhuan quistinemi ipan ahuilnemilistli, noso yejhuan yolchipahuac, noso yejhuan nochi quinoyaxcatisnequi xhuelis calaquis.On yejhuan nochi quinoyaxcatisnequi xhuelis calaquis, pampa on tlen sanoyej quinequi sa no ijqui quen quinyectenehuasquia on tlamachijchihualtin intajtzitzihuan.","Porque esto lo sabéis muy bien: que ningún inmoral ni impuro ni avaro, el cual es idólatra, tiene herencia en el reino de Cristo y de Dios"
"Ijcon quen miyequej onocuepquej tlajtlacolejquej san ipampa se tlacatl xoquitlacamat Dios, no ijqui Dios miyequej quinselis quen on yejhuan yolmelajquej pampa se tlacatl oquitlacamat Dios.","Porque como por la desobediencia de un solo hombre, muchos fueron constituidos pecadores, así también, por la obediencia de uno, muchos serán constituidos justos"
Niquinpia yeyi nocihuaicnihuan ihuan orne no oquich icnihuan.,Tengo tres hermanas y dos hermanos.
"Ijcuac on onochiu, inomachtijcahuan Jesús xocajsicamatquej on tlajtlamach.Pero ijcuac Jesús otlejcoc ne ilhuicac, oquelnamiquej ica nochi yejhua on ye ijqui tlajcuilolnesticatca yejhua itech, niman ica ijqui mero ipan onochiu.","Sus discípulos no entendieron estas cosas al principio.Pero cuando Jesús fue glorificado, entonces se acordaron de que estas cosas estaban escritas acerca de él, y que estas cosas le hicieron a él"
Yn ihcuac yn ye iuh nepa chicuacenpohualxihuitl ypan macuilxihuitl ompa hualquizque yn inchan Aztlan yn mexica; yhuan yn ihcuac yn ye iuh exihuitl tlahtocati yn Mallatzin yn icmatlactlomome tlahtohuani Culhuacan.,"Para entonces, hacía 125 años que los mexicas habían salido de su morada de Aztlan; asimismo, Mallatzin, duodécimo tlatohuani de Colhuacan, llevaba tres años gobernando."
No kualtia pajti.,También sirve para remedio.
"Auh yc niman in yehuatzin tlahtohuani visurrey don Luis de Velasco pena quinmotlalili yn ix- || 56 -quichtin españolesme, ynic ayac quiçaz quitlalcahuiz yn altepetl Mexico, ypampa yn cenca mochintin ye mocomoniznequia, cenca ye momocihuiaya, ye mamanaya yn ipampa atl, ynic cenca omacoc omoteponaço omopepeyontimoma nohuian.","Pero el señor virrey don Luis de Velasco amenazó con penas a todos los españoles, para que nadie saliera ni abandonara la ciudad de México, porque muchos empezaban ya a inquietarse y a inconformarse por causa del agua, que había subido y crecido mucho y se derramaba por todas partes."
"Quemaj oquitlaltocaquej, niman ipan yeyi tonajli oyoliu niman onoquetzteu ipan itlalcon, ijcon quen on Yectlajcuilojli quijtohua.","que fue sepultado y que resucitó al tercer día, conforme a las Escrituras"
In sesek.,Es frío.
Monamaka maski amo akaj kiuika Kuesalan por in pinauaj.,Se vende aunque nadie lo lleva a Cuetzalan porque tienen pena.
"yejhuan yonoxelojquej itech on tlen melahuac.Yejhuamej quijtohuaj ica Dios yoquinyoliticaj niman yoquinquetztejcaj on mimiquej, niman ica in quintlamachilispojpolohuaj ipan intlaneltoc sequimej tlaneltocaquej.","quienes se extraviaron con respecto a la verdad, sosteniendo que la resurrección ya ha ocurrido, y trastornaron la fe de algunos"
"Niman ijcuac on tlacamej ijcon ocacquej, oquijlijquej: ―On Yectlajcuilojli techmachiltia ica Cristo nemis para nochipa.Yejhua ica ¿tlica, tej, tejhua tiquijtohua ica on yejhuan onochiu Tlacatl ica oncaj cajcopilosquej?¿Aquinon on yejhuan onochiu Tlacatl?","Entonces la gente le respondió: --Nosotros hemos oído que, según la ley, el Cristo permanece para siempre.¿Y cómo es que tú dices: ""Es necesario que el Hijo del Hombre sea levantado""?¿Quién es este Hijo del Hombre"
"IIII Calli xihuitl, 1249.","4 Calli, 1249."
"Pero nejhua xitlaj ocse ica nicnequi ninohueyilis, yej san ican imiquilis toTeco Jesucristo ipan icojnepanol.Pampa itechcopa imiquilis Cristo ipan icojnepanol, yejhua in tlalticpactli para nejhua micticaj, niman nejhua nimicticaj para in tlalticpactli.","Pero lejos esté de mí el gloriarme sino en la cruz de nuestro Señor Jesucristo, por medio de quien el mundo me ha sido crucificado a mí y yo al mundo"
Onieya.,Yo era.Yo estaba.
se taman kiluiaj chichiltalkamoj uan se istaktalkamoj.,a una clase le dicen papa roja (chichitalkamoj) y a la otra le dicen papa blanca (istaktalkamoj).
Testigo.- Balthazar de la Cruz ycnooquichtli nichane Sancta Ana Huitzilla omacoc juramento etc. tlatlaniloc in testigo ylhuiloc quen uel ticmati ynic moteilhuia Maria Geronima yn inamic Juan de Escalante ynic nixnamiqui Antonio Joseph yoan yn inamic Magdalena Ynes ac tlale catca ac axcaoa catca yn umpa otioalaque.,Testigo: don Baltasar de la Cruz biudo vezino de Sancta Ana Hitzilan testigo presentado en esta causa el qual aviendo jurado (por dios nuestro señor y por Santa Maria su madre y por una señal de cruz so cargo del qual prometio de dezir verdad de lo que supiese y le fuese preguntado) y aviendo jurado y siendo preguntado (por el tenor de los susodicho). Que es lo que sabes bien de la demanda de Maria Geronima y su esposo Juan de Escalante en contra de Antonio José y su esposa Magdalena Ines. ¿Quién era el dueño de la tierra antes?.
Ynic VI niquitohua oncatqui nofrezada ontetl nicmaca yn noconeuh ytoca Maria quimoquentiz.,La sexta cosa que digo es que existe dos frazadas mías que se las doy a mi hija María para que las use.
"Auh yhuan ye nauhpohualxihuitl ypan matlactlocexihuitl yn ipan XI Tecpatl xihuitl, 1516 años, y motlahtocatlalli tlacatl Cacamatzin tlahtohuani Aculhuacan Tetzcoco, ypiltzin y Neçahualpiltzintli.","Han pasado 91 años desde que, en el año 11 Técpatl, 1516, se enseñoreó el señor Cacamatzin, hijo de Nezahualpiltzintli, como tlatohuani de Acolhuacan Tetzcoco."
"Auh ynic amo hueca quitztica yn Aztlan yn Teocolhuacan, ca no yntoca yn azteca teocolhuaque.","Y puesto que no distan mucho entre sí Aztlan y Teocolhuacan, a los aztecas se les llamó también teocolhuas."
Ye chicome ihuan nahcan ti cateh.,Son las siete y cuarto.
anemizquiah,viviríais
"Ne ipan on hueyican itoca Jope nemiya se sihuatl tlaneltocaquetl itoca catca Tabita, yejhuan ipan griego quijtosnequi Dorcas.Yejhua in sihuatl nochipa quichihuaya on tlen cuajli niman quimpalehuiyaya on yejhuan tla itlaj quimpolohuaya.","Entonces había en Jope cierta discípula llamada Tabita, que traducido es Dorcas.Ella estaba llena de buenas obras y de actos de misericordia que hacía"
"Niman on ichpoch Herodías no ocalac, niman onijtotij.Niman on rey Herodes niman yejhuan oquinnotz sanoyej ocuelitaquej.Yejhua ica Herodes oquijlij on ichpochtli: ―Xnechtlajtlanili nochi san tlinon ticnequis, niman nimitzmacas.","Entonces la hija de Herodía entró y danzó, y agradó a Herodes y a los que estaban con él a la mesa; y el rey le dijo a la muchacha: --Pídeme lo que quieras, y yo te lo daré"
"Pero nicnequi xcajsicamatican ica on tlacatl yejhua tlayecanqui itechica isihuau, niman Cristo yejhua tlayecanqui ipan cada tlacatl niman Dios tlayecanqui itech Cristo.","Pero quiero que sepáis que Cristo es la cabeza de todo hombre, y el hombre es la cabeza de la mujer, y Dios es la cabeza de Cristo"
"Tejhua, tej, xquijyohui tlajtlamach tlajyohuilistli quen se cuajli soldado itech Jesucristo.","Tú, pues, sé partícipe de los sufrimientos como buen soldado de Cristo Jesús"
"Ijcuacon Pedro oquitlajtoltij: ―Xnechijli, ¿melahuac san ichquich in onenquinamacaquej nemotlal?Niman yejhua oquinanquilij: ―Quemaj, san ichquich.","Entonces Pedro le preguntó: --Dime, ¿vendisteis en tanto el campo?Ella dijo: --Sí, en tanto"
Yejhua on hueyi tiopixqui hebreo cada xipan calaquiya ne ipan on más tlayectenehuajloyan para quiteixpantiliaya on yestli yejhuan xejhua iyesyo.Pero Cristo xmiyecpa onohuentlalij.,"Tampoco entró para ofrecerse muchas veces a sí mismo, como entra cada año el sumo sacerdote en el lugar santísimo con sangre ajena"
QUENIN MOCHIHUA:,Preparación:
Achtopa tejhuamej no xcuajli titlanemiliayaj niman xtitetlacamatiyaj.No tixpolijtinemiyaj niman tinemiyaj ipan nochi sesetlamantic elehuilistli niman paquilisyotl yejhuan xcuajli.Tinemiyaj ipan on tlen xcuajli niman ipan nexicolyotl.Ocsequimej techtlahuelitayaj niman tiquintlahuelitayaj.,"Porque en otro tiempo nosotros también éramos insensatos, desobedientes, extraviados.Estábamos esclavizados por diversas pasiones y placeres, viviendo en malicia y en envidia.Éramos aborrecibles, odiándonos unos a otros"
"Auh yehuatl achtopa omachiyotiloc ynic visurrey yhuan capitán general yn ipan in Nueva España omochiuh yn don Antonio de Mendoça, huel inehuan tlacati yn Marqués de Mondéjar; omacoc yuh yehuatl ypan xihuitl de 1534, yn otlapacho yca yxquichcauh yehuatl ypan xihuitl acico de 1550, niman mohuicac ompa motlapachilhuito yn ipan provincias Pirú.","El primero que recibió el título de virrey y capitán general de la Nueva España fue don Antonio de Mendoza, hermano del Marqués de Mondéjar; se le dio el nombramiento en el año de 1534, y gobernó hasta el año de 1550, en que partió para ir a gobernar las provincias del Perú."
"In capolpotehtli, yehuatl in xochicualli mochihua ica capoli in mocoa tianquizco ahnozo monechicoa ipan capolcuahuitl milla.     Intla monechicoa ipan capolcuahuitl monequi ye chicahuac yez; inin neci ihcuac ye cenca chichiltic. Cualli mopaca, moquixtilia in iyollo, moteci metlapan ahnozo ihtic in tepuztlatzoaloni. In ihcuac ye tlatextli in capoli ye mocua yuhquin xuchicualpotehtli ahnozo motlalilia pinolli ihuan ye mocua yuhquin xuchitlacualiztli.","Para preparar esta mermelada, se compra el capulín en el mercado o se recoge de los árboles en el campo. Si se toma el capulín de los árboles, debe estar maduro, cuando su color rojo es intenso. Se lava muy bien y se separa la pulpa de la semilla, que es a lo que la gente suele llamar ""huesito"". Se muele la pulpa en el metate, pero también puede hacerse en la licuadora. Ya molido, el capulín se puede comer como mermelada o se le pone pinole y se come así como postre."
"Niman ocalac Jesús ne ipan on hueyican Jerusalén, niman quemaj oyaj ne calijtic ipan on hueyi tiopan.Ompa oquitac nochi tlen quichijticatcaj.Niman pampa sanoyej, niman oquitlalijquej neca ipan ojtli. ye tiotlac catca, oyaj ne Betania inhuan on inomachtijcahuan.","Entró Jesús en Jerusalén, en el templo, y habiendo mirado todo en derredor, como la hora ya era tarde, salió para Betania con los doce"
Pero Jesús oquinchicajcanahuatij ma ca quiteijlisquej aquin yejhua.,Pero él les reprendía mucho para que no le dieran a conocer
"Pero on yejhuan sihuahuaj, notequimaca ica on tlajtlamach yejhuan oncaj ipan in tlalticpactli pampa yejhua quinequi quipactis isihuau.","pero el casado se preocupa de las cosas de la vida, de cómo ha de agradar a su esposa"
Nican ipan motlatocatlalli yn Quetzalmamalitzin ahto tlatoani mochiuh Teotihuacan.,En este año se enseñoreó Quetzalmamalitzin como primer tlatohuani de Teotihuacan.
"Xachtoj ticseliaj toilhuicacnemilis, yej achtoj ticseliaj totlalticpacnemilis niman quemaj ticseliaj toilhuicacnemilis.","Pero lo espiritual no es primero, sino lo natural; luego lo espiritual"
Nimitzijlia ica on miyec itlajtlacol aman yotlapojpolhuiloc ipampa ihueyitetlajsojtlalis.Pero on yejhuan achijtzin itlajtlacol quitlapojpolhuiliaj san achijtzin quiteititia itetlajsojtlalis.,"Por lo cual, te digo que sus muchos pecados son perdonados, puesto que amó mucho.Pero al que se le perdona poco, poco ama"
"Xmohuicacan quen tlacamej yejhuan tlamacaltin.Pero ma ca xnemilican pampa nemomacahualis, nenhuelisquej nenquichihuasquej on tlen xcuajli.Yej más cuajli xmohuicacan quen itlacohualhuan Dios.","Actuad como libres, y no como los que hacen de la libertad un pretexto para hacer lo malo, sino como siervos de Dios"
"Icuac ilhuitzin quizá mitotiquez pastoratin, santiagome ihuan quemanian azcatzitzintin.","Cuando salía su fiesta bailaban las  Pastorcitas , los  Santiagos  y las  Hormiguitas ."
"Ijcuacon yejhua oquimijlij: ―Nejhua xnicmati tla yejhua tlajtlacolej noso ca.Yej tlinon nejhua nicmatzticaj, niciego catca niman aman nitlacha.","Entonces él respondió: --Si es pecador, no lo sé.Una cosa sé: que habiendo sido ciego, ahora veo"
"Amozazan, nozo ica cente nomaicnin otocahqueh ompa cafenamacoyan totaz queh ihuan amo nic nequi nech onchixtaz.","No tanto, pero tengo una cita con un amigo en un café céntrico, y no quiero hacerlo esperar."
"Ocachi cualli ihquin. Ihcuac ce totonia, monequi amo tlacuaz. ¿ Yeotiquimitac in mimiztin ihuan chichimeh aic tlacuah ihcuac mococoah? Ihuan ihquin ca cequin tonaltin oncehuih. Ihcuac titotoniah amo cualli titlacuaxqueh, zan tiquizqueh naranjaayotl nozo toronyaayotl. Ihcuac tepitzin yetimayanah, zantepitzin tlacualli ihuan miac limonayotl. Noihqui monequi tocuitlaxcolchipahuazqueh ca cente yamanqui yamatztli, ihquion ticotonazqueh in cocolíztli.","Es mejor así. Cuando uno tiene fiebre, no debe tomar casi nada de alimentos. ¿Has notado que los gatos y los perros nunca comen cuando están malos? Por lo general en pocos días recuperan su salud. Cuando tenemos fiebre debemos de abstenernos de alimentos, ponernos a dieta de frutas, naranja o toronja. Cuando hay algo de hambre sopas de cereales y mucha agua de limón. También es muy necesario de llevar a cabo el primer día, una limpieza de los intestinos con un laxante suave, así acortaremos siempre la duración de la enfermedad."
"Comalco mototonia in huaxchilli, moihcequi in xonacatl ihuan axox; in chilli mociyahua ihtic in atotonilli, zatepan moteci metlapan ahnozo ica tepuztlatzoaloni ica xonacatl ihuan axox. Tleco motlalia in caxitl ica pitzochiyahuizotl ihuan ihcuac ye cenca totonqui motlalia in chiltextli in ye achto omocuachhui; cualli mopaca in oconanacatl ihuan ihcuac ye pozontoc in chilli ye ihtic in motlalia; in chilli macahmo huel ayo nien ahmo cenca tetzahuac; motlapachoa, ma cualli huicci.","Se calienta el guajillo en un comal. Se asan la cebolla y el ajo, y el chile se remoja en agua caliente; después se muele en la licuadora o en el metate junto con la cebolla y el ajo. Se pone una cazuela al fuego con la manteca o el aceite a que esté bien caliente, y se agrega el chile molido una vez que se ha colado. Se lavan muy bien los hongos y cuando esté hirviendo el picante, se agregan cuidando que la salsa no quede ni muy aguada ni muy espesa; se tapan y se dejan cocer bien."
"V Tecpatl xihuitl, 1328.","5 Técpatl, 1328."
Sayoj in xokoyoltaol morado in ieuayo. Mochiua kampa eski.,Solamente el maíz rosado tiene la cáscara morada. Se da en donde sea.
"Jesús oquijlij: ―¿Tlica tiquijtohua ica nicuajli?Dios san yejhua iselti cuajli, niman tejhua ticnemilia ica nejhua xniDios.","Y Jesús le dijo: --¿Por qué me llamas ""bueno""?Ninguno es bueno, sino sólo uno, Dios"
"Xopantla yahtinemizqueh ihuan miac maltizqueh ipan Verano, in huel quin pactia in pilantoton.",Andar descalzo y bañarse mucho en tiempo de verano es un placer grande para los niños en los pueblos.
"XII Tecpatl xihuitl, 1296.","12 Técpatl, 1296."
Oticoniqueh ce huelic ihuan tzopelcaitztic atzintli.,Hemos bebido un refresco delicioso.
Yn quiquetzque azo ye castolxihuitl yn itech zaliuhtica calli yn tlaquetztli ye iuh niquilnamiqui azo ye cenpoualxihuitl yhuan X tli xihuitl yehuatl quiquetztia yn tenantzin catca ytoca Madalena tlaxillacaleque yn [tachado: quiquetzque] teuh auh yn xamitl quicouh.,Y que a que se edificaron las dichas casas puede aver quinze años y que la casa que está pegada a ella puede aver que se edifico treinta años la quales labró y edificó la madre llamada Madalena y que los adobes mercaron de los tlaxilacales o mandones del barrio.
"Quemaj Jesús oquimijlij on inomachtijcahuan: ―Tla yacaj quinequi nohuan yas, ma quelcahua on tlen quinequi, ma nemi listo para tlajyohuis noso miquis nopampa, niman ma nohuan huiya.","Entonces Jesús dijo a sus discípulos: --Si alguno quiere venir en pos de mí, niéguese a sí mismo, tome su cruz y sígame"
Xochiyoua itech enero.,Florea en enero.
In sesek.,Es frío.
"Naui Tecpa xiuitl mochiuh ypa çan ic ualmoman yn tonatiuh ye quallo, uel tlayouac, nezque y cicitlalti.",En el año 4 Técpatl 1496 hubo un eclipse de Sol; se hizo de noche y aparecieron las estrellas.
"Hui, totecuyhuane, ma itla anquichihualtihtin in amo cuitlapiltzin, yn amatlapaltzin, quenoc quilcahuaz, quenoc quipoloz. Ma oc ihuian, yocuxca, xicmottilican, totecuiyhuane in tlein monequi. Ca amo huel toiollopachiui auh ca za ayamo tontocaqui ayamo titonelchihua, tamechtoiolitlacalhuizque. Ca nican onoque in ahuaque in tepehuaque in tetecuti in tlatoque in quitqui in quimama in cemanahuatl Mazanoc ye inio in oticcauhque in oticpoloque in otoncuililoque, in otocavaltiloque in petlatl in icpalli: ca za oncan tonotiazque, ca tictzaccutiazque, ma topan xicnochihilica in tlein anquimonequiltizque.","Oíd, señores nuestros, no hagáis algo a vuestro pueblo que le acarree la desgracia, que lo haga perecer. Tranquila y amistosamente considerad, señores nuestros, lo que es necesario. No podemos estar tranquilos, y ciertamente no creemos aún, no lo tomamos por verdad, aun cuando os ofendamos. Aquí están los señores, los que gobiernan, los que llevan, tienen a su cargo el mundo entero. Es ya bastante que hayamos perdido, que se nos haya quitado, que se nos haya impedido nuestro gobierno. Si en el mismo lugar permanecemos, sólo seremos prisioneros. Haced con nosotros lo que queráis."
.	Auh in ye ipan cualli tonalli zan niman hicuac ual totocatiuetzi in ic uel ipan ual calaquia in inchan: amo cemilhuitl zan youaltica in acaltica ual calactiuetzia.,".	Y cuando ya era el buen signo del día, luego inmediatamente era cuando proseguían de prisa el camino, de modo que pudieran entrar bajo este signo a su casa. No de día, sino de noche, en barcas, venían a entrar presurosos."
ISTAKNANAKAT oso XONONANAKAT,HONGO BLANCO u HONGO DEL JONOTE
Niman otitechtlalij quen reyes niman tiopixquej para tictequichihuilisquej Dios niman tejhuamej titlanahuatisquej ipan tlalticpactli.,"Tú los has constituido en un reino y sacerdotes para nuestro Dios, y reinarán sobre la tierra."
Quemaj on hebreos oquijtojquej: ―Xquitacan quen sanoyej quitlajsojtlaya.,Entonces dijeron los judíos: --Mirad cómo le amaba
"Ijcon quen yejhua oquinmacac ocsequimej no ijqui xmacacan.Niman on tlen yejhua oquichiu, ocpatipan sa no ijqui xmacacan.Ijcon quen chichic oquineloj se tlaonijli para ocsequimej, nemejhuamej ocpa más chichic xnelocan para yejhua.","Pagadle tal como ella os ha pagado, y devolvedle el doble según sus obras.En la copa que ella preparó, preparadle el doble"
"Ompa Onohualco altepenahuac in itoca Centla, mayatlacah quiyaochiuhqui don Femando, auh yehuatl in, huel quimpehua yehica oc cenca temictiloni catca iyaonechichiuh tepehuani in amo imaxca mayaonohualcah.","En Tabasco, cerca de la población de Centla, los mayas le hicieron la guerra a Cortés, pero éste pudo vencerlos, gracias a la superioridad de sus armas."
"Nican ypan in ynic oncan huallehuaque yn Tultitlan y nonohualca yn teotlixca tlacochcalca; auh çan ya yehuatl ipan in yn omoteneuh Ce Tochtli xihuitl ynic oncan motecaco Chapultepec, yehuatl quinhualyacan yn Tlahtoltzin teomama, quimama Tezcatlipoca.","En este año los nonohualcas teotlixcas tlacochcalcas partieron de Toltitlan; y en este mismo año de 1 Tochtli llegaron a establecerse en Chapoltépec, conducidos por el teomama Tlatoltzin, que venía cargando a Tezcatlipoca."
"Para atol se kiteki in kapolin oksik, se kiualkui, kipataj uan kinelouaj iuan tixti, kitsopeliaj uan kimanaj.","Para hacer el atole, cortan los capulines maduros, se traen a la casa, los machacan y los revuelven con masa, lo endulzan y lo hierven."
"Pampa yotictlacamat notlanahuatil niman ticxicohua ican tlajyohuilistli, nejhua no nimitzmanahuis ipan on hora ijcuac yejcos on tlajyohuilistli yejhuan nochi tlajtlacolej ipan huajlas.Yejhua on tlajyohuilistli onyas, para nochi tlalticpactlacatl notlatlatas.","Porque guardaste la palabra de mi paciencia, yo también te guardaré a la hora de la prueba que ha de venir sobre todo el mundo habitado, para probar a los moradores de la tierra"
"Nican calcuepacan, campa momoztla ompa nia. Icompa tiohueh.","Aquí a la vuelta, en la cuadra siguiente, donde voy casi diario. Vamos por allá."
"III Tochtli xihuitl, 1170.","3 Tochtli, 1170."
In cuajli nesi ica tenquisa on tlen oquijcuilojcaj on tiotlajtojquej.Yejhuamej ijquin oquijcuilojcaj ipan in Yectlajcuilojli:,"Con esto concuerdan las palabras de los profetas, como está escrito"
"Yehuantin in yn omoteneuhque yn eyntin yn tlatocatque otlipan yn intlahtocahuan yn Tequanipan tlaca, yn oquic ayemo huallacia.","Estos tres que se han nombrado gobernaron por el camino como tlatoque de los tecuanipantlacas, cuando éstos aún no habían llegado acá."
Yehuan oquintitlanilihqueh tomin intatahuan.,Ellos remitieron dinero a sus padres.
"In temachtijli xsan yacaj onicaquilij nion san yacaj onechmachtij, yej onicselij pampa Cristo onechmachiltij.Yejhua onechpantlantilij.","porque yo no lo recibí, ni me fue enseñado de parte de ningún hombre, sino por revelación de Jesucristo"
.	auh uel quinahmicticatca in ye ixquich ye mochi tianquizco monamaca in yuh patiouaz.,.	y precisamente cotejaban todo cuanto en el mercado se vendía en cuanto a lo que valiera.
Chicuhnaui Tecpa xiuitl atle muchiuh.,En el año 9 Técpatl 1384 no sucedió nada.
Yehua tohuan cualli oyec.,El se portó muy bien con nosotros.
ca tic cuaz ca tic iz in nican ic ti mitz nonotza a ixquich ic ti mitz on apana ti mitz on tetziloa aco ti mitz ilpia in timonanuan in timotauan ti mitz tlatlauhtia.,"comerás, beberás aquí con lo que te amonestamos, con lo que te fortalecemos, con lo que te adornamos, nosotros tus padres, tus madres que te elevamos y te damos esta exhortación."
"Quemaj Jesús oajsic ihuan on inomachtijcahuan campa itoca Getsemaní.Niman sequimej inomachtijcahuan ijquin oquimijlij: ―Chica nicchihua oración, nican xmotlajtlalican.","Entonces llegó Jesús con ellos a un lugar que se llama Getsemaní, y dijo a los discípulos: --Sentaos aquí, hasta que yo vaya allá y ore"
"Quemaj Pedro niman Juan oquintlalijquej inmahuan impan yejhuamej, niman ijqui oquiselijquej on Espíritu Santo.","Entonces les impusieron las manos, y recibieron el Espíritu Santo"
Nehua onicua in manzanah.,Yo me comí las manzanas.
Auh in testigo niman otlananquilli quitohua ynic nicmati yn itechcopa in Anna Xoco in nihualmozcalli on nemi yn itoca Tlacochin yn itatzin Anna Xoco onmanca yxacal centetl auh in xacalli yquac onxitin huetzico atl.,Dixo que lo que sabe es acerca de la dicha (Maria) [Ana] Xoco que despues que se acuerda bido y conoscio a un yndio llamado Tlacuch padre de la dicha Maria [Ana] Xoco que en las dichas tierras tenya unos xacales e que estos xacales estubieron mucho tiempo e quando esta ciudad se anego se cayeron.
Canaj ipan ocse yeyi hora ocalaquito on isihuau Ananías.Yejhua xquimatiya tlinon yonochiu.,"Después de un intervalo de unas tres horas, sucedió que entró su mujer, sin saber lo que había acontecido"
"Mochiua kaltsintan uan kuoujtaj, kajfentaj oso milaj.","Se da al pie de la casa y en el rancho, en el cafetal y en la milpa."
"Auh yn oncan tequalloc oncan yhcac ahuaquahuitl, ytlan moquetzaco yn Tziuhtlacauhqui Yaopol; ye hicac in ye hui amizque yn tlahtoque yn chichimeca yn totollimpaneca yn Atonaltzin yhuan yn Tliltecatzin, oncan ipan acito yn ahuaquauhtitlan moquetzticac yn oncan tequalloc.","Y donde el hombre fue devorado crecía una encina, a cuya sombra descansaba Tziuhtlacauhqui Yaópol; allí también se detenían los tlatoque chichimecas totolimpanecas Atonaltzin y Tliltecatzin cuando salían de caza, allá llegaban y descansaban bajo la encina, donde el hombre fue devorado."
Auh niquitoa axcan ye cenmayan nimitzcahuilia yn naxca ocatca nimitzaxcatia ye maxca motlatqui mochioa tiquincahuilitiaz tiquinmacatiaz yn mopilhoan moxuiuan yn motechpa quizazque ymaxca yn tlatqui mochiuaz aocmo quenmanian ninoxicoz ninotlatolcuepaz niquitotiuh ca zan noca oncacayaoaloc amo ipatiuh yn nimitzmacac zan nechxixicoque yn ma nel quenmanian tlazotitiuh calli tlalli yn ya ompa titztihui aocmo ninotlatolcuepaz ye cenmanyan nimitzmacahuilia.,"Y ahora digo que del todo te dejo lo que era mi propiedad, la hago tuya, ya se convierte en tu propiedad, tu bien; se los dejarás a tus hijos y nietos, será propiedad y bien de los que de ti desciendan, en ningun tiempo haré engaño o me retractaré y diré que de mi se burlaron y que no te lo di en su precio y que me engañaron y si alguna vez en el futuro, sube de precio la casa y tierra ya no me retractaré, del todo te la dejo."
